index,input,intent_code
128,"please add the sides fruit cobbler, and corn on the cob",10
111,"can i add a sides Garlic Bread, Potato Wedges, and Salad Bowl to my order",10
133,remove garlic bread,11
141,remove breaded chicken strips,11
144,remove sausage tear & share,11
137,remove mac n cheese,11
140,remove cheesy nachos,11
138,remove cheesy garlic bread,11
53,"oh no, i forgot i can't eat that side, so remove it.",11
139,remove cheese triangles,11
135,remove salad bowl,11
139,could you please take out the side,11
145,remove peri-peri chicken,11
143,remove beyond italian style,11
131,remove side,11
136,please can you remove the side,11
138,you should remove the side,11
151,add cola regular large,12
157,please can i add Chocolate Milk and Vodka,12
141,"can i add the drinks Orange Cola, and Sugar-Free Cola to my order?",12
149,can i add a drink to my order?,12
150,add drink Cola,12
154,could you add Smoothie,12
145,I want the drink Cola Regular Large,12
153,add sugar-free cola,12
140,add drink Cola Regular Large,12
152,"please let me add Hot Chocolate, and Coffee",12
143,"please add the drinks Sugar-Free Cola, and Bottled Water",12
147,"I need the drinks Cola Regular Large, Orange Cola, Sugar-Free Cola, Lemonade, and Bottled Water",12
56,everyone knows you can't survive without adding a lemonade,12
159,can you add a Milkshake please,12
55,cola for me!,12
157,can i remove a drink from my order?,13
162,please take out the drink,13
169,the drink I need to remove is,13
163,could you remove the drink,13
160,remove sugar-free cola,13
165,please remove the drink,13
168,I want you to remove the drink,13
158,remove cola regular large,13
164,the drink i want you to remove is,13
162,remove bottled water,13
167,can you please remove the drink,13
60,get rid of that orange cola!!,13
166,could i take out drink from my order?,13
161,remove lemonade,13
59,i need you to get rid of a drink,13
168,farewell,14
64,"yours truly,",14
63,"that's all, thanks for your help",14
62,we'll meet again,14
179,that's all thank you,14
178,bye bye,14
177,see you soon,14
163,bye,14
164,ok i'm done,14
165,seeya,14
166,thanks bye,14
167,see you later,14
169,that's all i need,14
65,ciao!,14
